 Заболели Умерли Вылечились Активные случаи 
Эсватини  (46359, 1233, 0, 45126)
Суринам  (46132, 1007, 0, 45125)
Французская Полинезия  (45439, 633, 0, 44806)
Мадагаскар  (43616, 960, 0, 42656)
Французская Гвиана  (43255, 293, 0, 42962)
Мартиника  (42269, 656, 0, 41613)
Судан  (39416, 2976, 0, 36440)
Сирия  (38365, 2382, 0, 35983)
Кабо-Верде  (38006, 347, 0, 37659)
Мальта  (37437, 459, 0, 36978)
Мавритания  (36591, 787, 0, 35804)
Гайана  (34240, 862, 0, 33378)
Габон  (33442, 213, 0, 33229)
Лаос  (31188, 36, 0, 31152)
Гвинея  (30572, 385, 0, 30187)
Танзания  (26034, 724, 0, 25310)
Того  (25865, 238, 0, 25627)
Бенин  (24560, 161, 0, 24399)
Папуа — Новая Гвинея  (24041, 266, 0, 23775)
Белиз  (23990, 461, 0, 23529)
Гаити  (22827, 649, 0, 22178)
Сейшельские Острова  (21854, 119, 0, 21735)
Багамы  (21580, 590, 0, 20990)
Лесото  (21524, 655, 0, 20869)
Сомали  (21269, 1180, 0, 20089)
Восточный Тимор  (19703, 119, 0, 19584)
Бурунди  (19555, 38, 0, 19517)
Таджикистан  (17484, 125, 0, 17359)
Кюрасао  (16899, 171, 0, 16728)
Маврикий  (16621, 129, 0, 16492)
Тайвань  (16325, 846, 0, 15479)
Никарагуа  (15737, 206, 0, 15531)
Аруба  (15702, 170, 0, 15532)
Мали  (15577, 555, 0, 15022)
Конго - Браззавиль  (15514, 222, 0, 15292)
Андорра  (15338, 130, 0, 15208)
Буркина-Фасо  (14657, 203, 0, 14454)
Джибути  (13377, 179, 0, 13198)
Экваториальная Гвинея  (12840, 156, 0, 12684)
Исландия  (12455, 33, 0, 12422)
Барбадос  (12427, 109, 0, 12318)
Южный Судан  (12184, 130, 0, 12054)
Сент-Люсия  (12129, 232, 0, 11897)
ЦАР  (11469, 100, 0, 11369)
Бруней-Даруссалам  (10251, 68, 0, 10183)
Гамбия  (9946, 339, 0, 9607)
Новая Каледония  (9861, 231, 0, 9630)
Йемен  (9495, 1798, 0, 7697)
о-в Мэн  (8430, 56, 0, 8374)
Эритрея  (6767, 44, 0, 6723)
Сьерра-Леоне  (6396, 121, 0, 6275)
Нигер  (6143, 204, 0, 5939)
Гвинея-Бисау  (6129, 141, 0, 5988)
Либерия  (5803, 286, 0, 5517)
Гибралтар  (5740, 98, 0, 5642)
Гренада  (5721, 192, 0, 5529)
Бермудские о-ва  (5548, 95, 0, 5453)
Сан-Марино  (5473, 91, 0, 5382)
Чад  (5067, 174, 0, 4893)
Новая Зеландия  (4940, 28, 0, 4912)
Синт-Мартен  (4439, 71, 0, 4368)
Коморы  (4184, 147, 0, 4037)
Доминика  (4153, 28, 0, 4125)
Сент-Винсент и Гренадины  (4096, 38, 0, 4058)
Сен-Мартен  (3878, 55, 0, 3823)
Антигуа и Барбуда  (3858, 93, 0, 3765)
Сан-Томе и Принсипи  (3670, 56, 0, 3614)
